geoid,avg_vac_r,SourceFile
06001427100,1233.78,usps_vac_032019_tractsum_2kx.dbf
06001427600,1199.75,usps_vac_032019_tractsum_2kx.dbf
06001428100,1199.6,usps_vac_032019_tractsum_2kx.dbf
06001428301,1096.5,usps_vac_032019_tractsum_2kx.dbf
06001433700,2148.3,usps_vac_032019_tractsum_2kx.dbf
06001435300,1079.43,usps_vac_032019_tractsum_2kx.dbf
06001436700,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001436300,1129.75,usps_vac_032019_tractsum_2kx.dbf
06001435102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001437600,809.8,usps_vac_032019_tractsum_2kx.dbf
06001437701,995.0,usps_vac_032019_tractsum_2kx.dbf
06001438000,621.17,usps_vac_032019_tractsum_2kx.dbf
06001434000,1752.47,usps_vac_032019_tractsum_2kx.dbf
06001442301,1082.5,usps_vac_032019_tractsum_2kx.dbf
06001443104,958.75,usps_vac_032019_tractsum_2kx.dbf
06001430300,0.0,usps_vac_032019_tractsum_2kx.dbf
06001431100,0.0,usps_vac_032019_tractsum_2kx.dbf
06001451202,1719.88,usps_vac_032019_tractsum_2kx.dbf
06001430101,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001433300,1100.0,usps_vac_032019_tractsum_2kx.dbf
06001433500,1254.17,usps_vac_032019_tractsum_2kx.dbf
06001435800,1140.67,usps_vac_032019_tractsum_2kx.dbf
06001406100,1170.0,usps_vac_032019_tractsum_2kx.dbf
06001407200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001450745,0.0,usps_vac_032019_tractsum_2kx.dbf
06001407400,817.67,usps_vac_032019_tractsum_2kx.dbf
06001404700,1042.6,usps_vac_032019_tractsum_2kx.dbf
06001409100,690.44,usps_vac_032019_tractsum_2kx.dbf
06001432502,1181.67,usps_vac_032019_tractsum_2kx.dbf
06001433000,1215.5,usps_vac_032019_tractsum_2kx.dbf
06001404502,823.8,usps_vac_032019_tractsum_2kx.dbf
06001402600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001424001,2593.14,usps_vac_032019_tractsum_2kx.dbf
06001425104,519.75,usps_vac_032019_tractsum_2kx.dbf
06001400400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403502,968.25,usps_vac_032019_tractsum_2kx.dbf
06001404400,958.62,usps_vac_032019_tractsum_2kx.dbf
06001426200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001421900,1151.92,usps_vac_032019_tractsum_2kx.dbf
06001422500,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001427900,1173.9,usps_vac_032019_tractsum_2kx.dbf
06001427700,759.81,usps_vac_032019_tractsum_2kx.dbf
06001441100,1188.38,usps_vac_032019_tractsum_2kx.dbf
06001438201,729.0,usps_vac_032019_tractsum_2kx.dbf
06001437300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001443200,700.5,usps_vac_032019_tractsum_2kx.dbf
06001443301,479.5,usps_vac_032019_tractsum_2kx.dbf
06001441302,79.5,usps_vac_032019_tractsum_2kx.dbf
06001441800,168.0,usps_vac_032019_tractsum_2kx.dbf
06001442602,896.67,usps_vac_032019_tractsum_2kx.dbf
06001441923,1209.78,usps_vac_032019_tractsum_2kx.dbf
06001441927,0.0,usps_vac_032019_tractsum_2kx.dbf
06001430102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001441521,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001441401,672.0,usps_vac_032019_tractsum_2kx.dbf
06001440335,871.8,usps_vac_032019_tractsum_2kx.dbf
06001440305,322.0,usps_vac_032019_tractsum_2kx.dbf
06001444301,2255.67,usps_vac_032019_tractsum_2kx.dbf
06001444200,2180.75,usps_vac_032019_tractsum_2kx.dbf
06001406202,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001450743,0.0,usps_vac_032019_tractsum_2kx.dbf
06001404800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406602,1079.0,usps_vac_032019_tractsum_2kx.dbf
06001406601,1145.5,usps_vac_032019_tractsum_2kx.dbf
06001409900,1130.33,usps_vac_032019_tractsum_2kx.dbf
06001405902,1230.23,usps_vac_032019_tractsum_2kx.dbf
06001450501,0.0,usps_vac_032019_tractsum_2kx.dbf
06001450300,0.0,usps_vac_032019_tractsum_2kx.dbf
06001432100,1156.0,usps_vac_032019_tractsum_2kx.dbf
06001433102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402400,617.94,usps_vac_032019_tractsum_2kx.dbf
06001403100,1194.5,usps_vac_032019_tractsum_2kx.dbf
06001400600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403701,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001422300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001404101,1169.36,usps_vac_032019_tractsum_2kx.dbf
06001400200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001421400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001436100,993.14,usps_vac_032019_tractsum_2kx.dbf
06001436900,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001437800,697.0,usps_vac_032019_tractsum_2kx.dbf
06001436601,887.77,usps_vac_032019_tractsum_2kx.dbf
06001438203,885.0,usps_vac_032019_tractsum_2kx.dbf
06001438100,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001437200,479.38,usps_vac_032019_tractsum_2kx.dbf
06001441602,769.17,usps_vac_032019_tractsum_2kx.dbf
06001442601,168.0,usps_vac_032019_tractsum_2kx.dbf
06001443002,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001442200,1073.63,usps_vac_032019_tractsum_2kx.dbf
06001430600,0.0,usps_vac_032019_tractsum_2kx.dbf
06001430200,161.0,usps_vac_032019_tractsum_2kx.dbf
06001451102,336.0,usps_vac_032019_tractsum_2kx.dbf
06001451201,897.0,usps_vac_032019_tractsum_2kx.dbf
