year,quarter,mean_avg_vac_r
2019,Q1,986.9228235294117
2019,Q2,1045.404823529412
2019,Q3,1116.4703529411763
2019,Q4,1185.3437647058824
2020,Q1,1258.4536470588234
2020,Q2,1339.4897647058824
2020,Q3,1425.0511764705882
2020,Q4,1508.6844705882352
2021,Q1,1589.8456470588235
2021,Q2,1681.3777647058826
2021,Q3,1774.7405882352944
2021,Q4,1082.976
2022,Q1,1119.9116470588235
2022,Q2,1165.2597647058826
2022,Q3,1255.0478823529413
2022,Q4,1296.9304705882355
2023,Q1,1408.165909090909
2023,Q2,1460.8846590909088
2023,Q3,1524.8893181818182
2023,Q4,1570.9103409090908
2024,Q1,1612.4428409090908
2024,Q2,1452.6632954545455
2024,Q3,1525.5122727272726
2024,Q4,1613.8320454545456
