geoid,avg_vac_r,SourceFile
06001406100,1170.0,usps_vac_032019_tractsum_2kx.dbf
06001407200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001407400,817.67,usps_vac_032019_tractsum_2kx.dbf
06001404700,1042.6,usps_vac_032019_tractsum_2kx.dbf
06001404502,823.8,usps_vac_032019_tractsum_2kx.dbf
06001402600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001400400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403502,968.25,usps_vac_032019_tractsum_2kx.dbf
06001404400,958.62,usps_vac_032019_tractsum_2kx.dbf
06001406202,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001404800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406602,1079.0,usps_vac_032019_tractsum_2kx.dbf
06001406601,1145.5,usps_vac_032019_tractsum_2kx.dbf
06001405902,1230.23,usps_vac_032019_tractsum_2kx.dbf
06001402400,617.94,usps_vac_032019_tractsum_2kx.dbf
06001403100,1194.5,usps_vac_032019_tractsum_2kx.dbf
06001400600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403701,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001404101,1169.36,usps_vac_032019_tractsum_2kx.dbf
06001400200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406400,686.5,usps_vac_032019_tractsum_2kx.dbf
06001405500,1182.47,usps_vac_032019_tractsum_2kx.dbf
06001405700,0.0,usps_vac_032019_tractsum_2kx.dbf
06001404102,870.67,usps_vac_032019_tractsum_2kx.dbf
06001404300,1107.0,usps_vac_032019_tractsum_2kx.dbf
06001406900,680.0,usps_vac_032019_tractsum_2kx.dbf
06001406201,1219.93,usps_vac_032019_tractsum_2kx.dbf
06001406300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001407300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406000,1060.08,usps_vac_032019_tractsum_2kx.dbf
06001407500,1148.94,usps_vac_032019_tractsum_2kx.dbf
06001406700,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403400,1123.97,usps_vac_032019_tractsum_2kx.dbf
06001405402,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001405800,1174.4,usps_vac_032019_tractsum_2kx.dbf
06001401700,881.4,usps_vac_032019_tractsum_2kx.dbf
06001401600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001401500,751.5,usps_vac_032019_tractsum_2kx.dbf
06001400300,1231.13,usps_vac_032019_tractsum_2kx.dbf
06001401200,0.0,usps_vac_032019_tractsum_2kx.dbf
06001403900,1168.6,usps_vac_032019_tractsum_2kx.dbf
06001403702,977.15,usps_vac_032019_tractsum_2kx.dbf
06001404000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001404200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402900,1190.89,usps_vac_032019_tractsum_2kx.dbf
06001405401,1179.0,usps_vac_032019_tractsum_2kx.dbf
06001405901,1040.14,usps_vac_032019_tractsum_2kx.dbf
06001407800,825.25,usps_vac_032019_tractsum_2kx.dbf
06001401400,685.64,usps_vac_032019_tractsum_2kx.dbf
06001403000,821.39,usps_vac_032019_tractsum_2kx.dbf
06001400500,0.0,usps_vac_032019_tractsum_2kx.dbf
06001401100,897.0,usps_vac_032019_tractsum_2kx.dbf
06001404501,700.33,usps_vac_032019_tractsum_2kx.dbf
06001407101,795.25,usps_vac_032019_tractsum_2kx.dbf
06001407700,956.71,usps_vac_032019_tractsum_2kx.dbf
06001405600,1248.11,usps_vac_032019_tractsum_2kx.dbf
06001408000,0.0,usps_vac_032019_tractsum_2kx.dbf
06001400800,465.5,usps_vac_032019_tractsum_2kx.dbf
06001403600,1158.33,usps_vac_032019_tractsum_2kx.dbf
06001400100,1158.8,usps_vac_032019_tractsum_2kx.dbf
06001407600,810.75,usps_vac_032019_tractsum_2kx.dbf
06001405000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001405200,1087.3,usps_vac_032019_tractsum_2kx.dbf
06001402500,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001400700,552.08,usps_vac_032019_tractsum_2kx.dbf
06001400900,581.4,usps_vac_032019_tractsum_2kx.dbf
06001403800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403501,1182.93,usps_vac_032019_tractsum_2kx.dbf
06001402800,1153.67,usps_vac_032019_tractsum_2kx.dbf
06001404900,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402700,1012.55,usps_vac_032019_tractsum_2kx.dbf
06001405302,1001.67,usps_vac_032019_tractsum_2kx.dbf
06001407102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001401300,1228.8,usps_vac_032019_tractsum_2kx.dbf
06001406500,0.0,usps_vac_032019_tractsum_2kx.dbf
06001401800,1212.0,usps_vac_032019_tractsum_2kx.dbf
06001405301,1103.88,usps_vac_032019_tractsum_2kx.dbf
06001405100,1778.75,usps_vac_032019_tractsum_2kx.dbf
06001401000,1021.87,usps_vac_032019_tractsum_2kx.dbf
06001404600,518.14,usps_vac_032019_tractsum_2kx.dbf
06001407000,755.6,usps_vac_032019_tractsum_2kx.dbf
06001407900,0.0,usps_vac_032019_tractsum_2kx.dbf
06001402200,1067.74,usps_vac_032019_tractsum_2kx.dbf
06001403300,734.76,usps_vac_032019_tractsum_2kx.dbf
06001407200,1352.0,usps_vac_062019_tractsum_2kx.dbf
