geoid,avg_vac_r
06001406602,2575.33
06001403302,1615.75
06001400600,2727.0
06001402802,2727.0
06001406601,2661.0
06001406700,1607.0
06001407500,1632.25
06001400300,1803.31
06001404200,2727.0
06001406000,1646.53
06001401200,318.5
06001401700,908.9
06001402801,733.33
06001405402,1251.41
06001406201,1613.57
06001406300,957.42
06001407800,780.56
06001403000,1695.54
06001403401,2054.82
06001404501,1687.33
06001401400,861.11
06001400500,971.0
06001405302,951.24
06001401300,1332.77
06001401000,1530.36
06001402200,1409.73
06001402700,1423.48
06001400100,2556.67
06001407101,1521.5
06001407700,751.27
06001400800,824.2
06001407600,650.96
06001403501,1272.0
06001403800,1993.0
06001400900,1210.87
06001405000,2631.14
06001405200,1803.67
06001400700,1295.68
06001406100,1159.71
06001404502,2289.8
06001407400,1284.93
06001403502,1530.86
06001402600,1136.63
06001404800,1972.17
06001406202,1277.86
06001400200,2727.0
06001403100,534.7
06001403701,1232.11
06001404101,2171.42
06001402400,1264.48
06001403301,1759.14
06001405902,1993.03
06001404300,2113.0
06001404102,1473.2
06001406400,687.69
06001406800,1451.89
06001407300,890.25
06001402900,1124.43
06001401600,1041.36
06001403900,1811.85
06001401500,711.14
06001403702,2187.87
06001404000,2336.4
06001405800,557.68
06001405901,1549.88
06001401100,682.0
06001405401,1069.78
06001406500,694.0
06001404900,2112.92
06001407000,691.0
06001405301,582.58
06001407900,403.17
06001404600,1489.0
06001407102,619.54
06001405100,942.67
06001401800,1277.36
06001403600,1450.59
06001405600,1313.64
06001408000,434.6
06001402500,1443.07
06001404700,1050.17
06001403402,1469.2
06001407200,2035.19
06001400400,1177.33
06001404400,1828.5
06001405700,526.83
06001406900,619.57
06001405500,1021.21
06001403302,1752.91
06001402802,2818.0
06001400600,2818.0
06001406602,2666.33
06001406601,2752.0
06001406900,710.57
06001405500,1112.21
06001405700,598.37
06001401700,938.86
06001405402,1284.91
06001400300,1981.4
06001402801,765.69
06001404200,2818.0
06001407500,1584.4
